timestamp,event,client_ip,client_port,server_ip,server_port,duration_ms,bytes_sent,bytes_recv
2026-04-17 16:00:12.607,CONNECT,127.0.0.1,44059,100.72.95.36,1449,0,0,0
2026-04-17 16:00:12.615,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 16:00:15.625,CLIENT_DISCONNECT,127.0.0.1,44059,100.72.95.36,1449,0,0,0
2026-04-17 16:00:15.670,CLOSE,127.0.0.1,44059,100.72.95.36,1449,3063,261,61
2026-04-17 16:00:17.304,CONNECT,127.0.0.1,21512,100.72.95.36,1449,0,0,0
2026-04-17 16:00:17.308,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 16:00:38.389,CONNECT,127.0.0.1,19664,100.72.95.36,1449,0,0,0
2026-04-17 16:00:38.395,DEVICE_CONNECT,100.72.95.36,1449,100.72.95.36,1449,0,0,0
2026-04-17 16:00:41.408,CLIENT_DISCONNECT,127.0.0.1,19664,100.72.95.36,1449,0,0,0
2026-04-17 16:00:41.454,CLOSE,127.0.0.1,19664,100.72.95.36,1449,3064,261,61
